1 1314.0, 0.38, 61.38, 30.12
1 1411.5, 0.5, 32.0, 49.0
1 1505.0, 0.5, 17.5, 14.0
1 1432.0, 0.5, 38.5, 44.0
1 1215.5, 11.0, 40.0, 32.5
1 1392.5, 11.5, 47.0, 43.0
1 1196.5, 18.5, 44.0, 41.0
1 1353.5, 49.5, 38.0, 34.0
1 1239.5, 57.5, 36.0, 56.0
1 1347.5, 71.5, 41.0, 53.0
1 1384.0, 72.5, 53.5, 36.0
1 1197.5, 87.5, 32.0, 51.0
1 1378.5, 87.5, 42.0, 41.0
1 1325.5, 96.5, 50.0, 36.0
1 1300.5, 128.5, 45.0, 27.0
1 1383.5, 130.5, 32.0, 29.0
1 1127.5, 135.5, 32.0, 47.0
1 1215.5, 201.5, 49.0, 30.0
1 1235.5, 218.5, 45.0, 32.0
1 1252.5, 232.5, 51.0, 31.0
1 1206.5, 236.0, 37.0, 52.5
1 1227.5, 231.5, 35.0, 62.0
1 1199.5, 256.5, 39.0, 41.0
1 1115.5, 301.5, 45.0, 36.0
1 1104.5, 313.5, 53.0, 39.0
1 1099.5, 331.5, 41.0, 39.0
1 1102.5, 361.5, 34.0, 44.0
1 1131.5, 364.5, 28.0, 53.0
1 1152.5, 366.5, 22.0, 43.0
1 477.0, 1062.25, 34.88, 17.75
1 684.5, 919.25, 53.62, 29.5
1 681.31, 938.81, 47.13, 38.19
1 681.56, 971.62, 54.44, 33.94
1 682.09, 955.91, 47.6, 43.37
1 1264.19, 53.69, 32.56, 27.81
1 1239.88, 36.25, 60.37, 32.56
1 1151.94, 135.25, 36.56, 55.5
1 1146.72, 131.78, 25.22, 49.1
1 1151.12, 117.06, 50.13, 28.63
1 1159.88, 79.94, 45.31, 29.18
1 1150.5, 100.94, 49.56, 26.4
1 1307.12, 3.38, 45.57, 38.12
1 1287.16, 0.12, 31.72, 32.69
1 1378.88, 30.59, 60.5, 31.97
1 1386.5, 55.19, 52.5, 24.0
1 1489.78, 0.03, 17.47, 24.28
1 1477.0, 0.06, 21.5, 38.25
1 1456.59, -0.03, 22.85, 32.59
1 1273.38, 0.03, 27.62, 39.91
1 1247.31, 0.12, 42.07, 37.76
1 1233.12, 0.09, 52.0, 40.35
1 1235.62, 73.25, 31.07, 54.5
1 1175.69, 45.56, 50.56, 40.69
1 1237.56, 46.88, 39.44, 33.59
1 1221.38, 53.44, 19.37, 59.81
1 1174.38, 61.06, 49.34, 30.47
