1 0.65, 0.16, 0.02, 0.02
1 0.00, 0.25, 0.02, 0.02
1 0.27, 0.25, 0.02, 0.03
1 0.56, 0.26, 0.03, 0.02
1 0.71, 0.26, 0.02, 0.03
1 0.99, 0.26, 0.02, 0.03
1 0.90, 0.28, 0.03, 0.02
1 0.10, 0.30, 0.03, 0.05
1 0.09, 0.35, 0.05, 0.04
1 -0.00, 0.36, 0.01, 0.03
1 0.82, 0.37, 0.03, 0.04
1 0.03, 0.37, 0.06, 0.02
1 0.12, 0.40, 0.04, 0.04
1 0.23, 0.38, 0.06, 0.02
1 0.00, 0.38, 0.04, 0.03
1 0.18, 0.40, 0.04, 0.03
1 0.78, 0.40, 0.04, 0.03
1 0.69, 0.40, 0.07, 0.03
1 0.73, 0.41, 0.03, 0.04
1 0.87, 0.41, 0.02, 0.04
1 0.89, 0.41, 0.02, 0.04
1 0.76, 0.41, 0.04, 0.04
1 0.85, 0.41, 0.02, 0.03
1 0.82, 0.41, 0.02, 0.04
1 0.75, 0.42, 0.03, 0.04
1 0.80, 0.42, 0.03, 0.04
1 0.01, 0.42, 0.03, 0.03
1 0.21, 0.44, 0.05, 0.02
1 1.43, 0.47, 0.03, 0.02
1 0.24, 0.52, 0.03, 0.04
1 0.11, 0.37, 0.05, 0.02
1 0.08, 0.39, 0.05, 0.02
1 0.06, 0.21, 0.02, 0.02
1 0.07, 0.21, 0.04, 0.01
1 0.68, 0.15, 0.02, 0.02
1 0.80, 0.16, 0.06, 0.01
1 0.82, 0.15, 0.05, 0.02
1 1.01, 0.22, 0.05, 0.04
1 0.88, 0.25, 0.03, 0.02
