1 1.48, 0.17, 0.02, 0.01
1 1.42, 0.18, 0.02, 0.03
1 1.32, 0.21, 0.03, 0.02
1 0.98, 0.22, 0.03, 0.02
1 0.68, 0.23, 0.02, 0.02
1 0.21, 0.25, 0.02, 0.02
1 0.07, 0.25, 0.02, 0.03
1 0.13, 0.25, 0.02, 0.02
1 1.26, 0.28, 0.03, 0.04
1 0.52, 0.30, 0.03, 0.05
1 1.32, 0.34, 0.02, 0.04
1 1.34, 0.34, 0.03, 0.04
1 1.24, 0.34, 0.04, 0.03
1 0.26, 0.34, 0.04, 0.03
1 0.10, 0.34, 0.03, 0.03
1 1.14, 0.34, 0.07, 0.05
1 1.30, 0.34, 0.02, 0.04
1 0.18, 0.34, 0.04, 0.03
1 1.28, 0.35, 0.02, 0.04
1 0.07, 0.35, 0.04, 0.04
1 0.53, 0.36, 0.03, 0.04
1 0.14, 0.36, 0.04, 0.02
1 0.34, 0.36, 0.04, 0.04
1 1.26, 0.36, 0.03, 0.04
1 0.36, 0.36, 0.04, 0.03
1 0.41, 0.36, 0.04, 0.03
1 0.44, 0.40, 0.05, 0.02
1 0.15, 0.37, 0.04, 0.03
1 0.02, 0.37, 0.06, 0.02
1 0.04, 0.38, 0.04, 0.03
1 0.28, 0.37, 0.03, 0.04
1 0.67, 0.37, 0.06, 0.02
1 0.24, 0.37, 0.03, 0.04
1 0.18, 0.37, 0.02, 0.04
1 0.20, 0.38, 0.03, 0.04
1 0.32, 0.37, 0.03, 0.04
1 0.55, 0.37, 0.03, 0.03
1 0.27, 0.37, 0.02, 0.04
1 0.47, 0.37, 0.06, 0.02
1 0.13, 0.37, 0.03, 0.02
1 0.22, 0.38, 0.02, 0.03
1 0.00, 0.38, 0.03, 0.03
1 0.00, 0.39, 0.02, 0.03
1 0.55, 0.39, 0.05, 0.02
1 0.02, 0.39, 0.03, 0.04
1 0.02, 0.42, 0.02, 0.04
1 0.10, 0.39, 0.04, 0.03
1 0.08, 0.42, 0.04, 0.04
1 0.36, 0.39, 0.07, 0.03
1 0.62, 0.39, 0.05, 0.03
1 0.15, 0.39, 0.03, 0.04
1 0.13, 0.39, 0.02, 0.04
1 0.56, 0.40, 0.04, 0.04
1 0.33, 0.40, 0.03, 0.04
1 0.36, 0.41, 0.02, 0.03
1 0.06, 0.41, 0.03, 0.04
1 0.24, 0.41, 0.05, 0.02
1 0.05, 0.41, 0.03, 0.04
1 0.20, 0.42, 0.03, 0.04
1 0.00, 0.42, 0.02, 0.03
1 0.38, 0.42, 0.03, 0.04
1 0.22, 0.42, 0.03, 0.04
1 0.14, 0.42, 0.03, 0.04
1 0.16, 0.45, 0.01, 0.01
1 0.37, 0.42, 0.02, 0.03
1 0.25, 0.43, 0.05, 0.02
1 0.66, 0.43, 0.05, 0.02
1 0.33, 0.43, 0.03, 0.04
1 0.46, 0.43, 0.03, 0.03
1 0.43, 0.49, 0.03, 0.04
1 0.40, 0.50, 0.03, 0.04
1 0.72, 0.51, 0.03, 0.04
1 1.12, 0.21, 0.02, 0.03
1 1.30, 0.18, 0.04, 0.02
1 1.16, 0.11, 0.04, 0.03
1 1.19, 0.10, 0.03, 0.01
1 1.11, 0.11, 0.05, 0.02
1 0.04, 0.22, 0.05, 0.02
1 0.41, 0.25, 0.03, 0.02
1 0.41, 0.25, 0.02, 0.03
1 0.48, 0.18, 0.02, 0.03
1 0.94, 0.16, 0.05, 0.01
1 1.43, 0.05, 0.04, 0.01
1 0.38, 0.16, 0.07, 0.01
1 0.39, 0.43, 0.06, 0.04
1 0.35, 0.43, 0.03, 0.04
1 0.00, 0.45, 0.01, 0.01
1 1.21, 0.36, 0.03, 0.05
1 1.21, 0.35, 0.05, 0.03
