1 0.67, 0.15, 0.03, 0.02
1 0.93, 0.16, 0.03, 0.04
1 0.77, 0.17, 0.03, 0.04
1 0.84, 0.17, 0.03, 0.04
1 0.87, 0.17, 0.03, 0.04
1 0.90, 0.18, 0.03, 0.04
1 0.82, 0.18, 0.02, 0.02
1 0.96, 0.19, 0.03, 0.04
1 0.67, 0.20, 0.03, 0.03
1 0.70, 0.20, 0.03, 0.04
1 0.98, 0.20, 0.03, 0.04
1 0.74, 0.21, 0.03, 0.04
1 0.59, 0.21, 0.05, 0.02
1 0.72, 0.21, 0.02, 0.03
1 0.87, 0.21, 0.04, 0.04
1 0.94, 0.21, 0.03, 0.04
1 1.00, 0.22, 0.03, 0.04
1 0.92, 0.22, 0.02, 0.03
1 0.79, 0.22, 0.03, 0.03
1 0.86, 0.22, 0.02, 0.03
1 0.65, 0.22, 0.04, 0.03
1 0.62, 0.23, 0.03, 0.02
1 0.96, 0.23, 0.03, 0.02
1 0.55, 0.24, 0.03, 0.03
1 0.71, 0.24, 0.03, 0.03
1 0.57, 0.24, 0.04, 0.03
1 0.69, 0.24, 0.02, 0.03
1 0.78, 0.24, 0.04, 0.03
1 0.63, 0.25, 0.02, 0.03
1 0.90, 0.25, 0.05, 0.02
1 0.87, 0.25, 0.03, 0.04
1 1.00, 0.25, 0.02, 0.03
1 0.95, 0.26, 0.02, 0.03
1 0.74, 0.26, 0.03, 0.03
1 0.79, 0.26, 0.04, 0.03
1 0.51, 0.26, 0.03, 0.04
1 0.52, 0.30, 0.02, 0.03
1 0.55, 0.27, 0.03, 0.03
1 0.84, 0.27, 0.03, 0.03
1 1.02, 0.27, 0.02, 0.03
1 0.92, 0.27, 0.03, 0.03
1 0.62, 0.27, 0.02, 0.03
1 0.64, 0.27, 0.03, 0.03
1 0.88, 0.27, 0.03, 0.03
1 0.41, 0.27, 0.06, 0.02
1 0.53, 0.27, 0.02, 0.03
1 0.54, 0.29, 0.03, 0.03
1 0.77, 0.27, 0.03, 0.04
1 0.97, 0.27, 0.04, 0.03
1 0.66, 0.28, 0.03, 0.02
1 0.69, 0.28, 0.04, 0.02
1 0.91, 0.28, 0.03, 0.03
1 1.03, 0.28, 0.04, 0.03
1 0.44, 0.28, 0.06, 0.02
1 0.80, 0.29, 0.03, 0.04
1 0.98, 0.29, 0.03, 0.03
1 0.49, 0.29, 0.02, 0.04
1 0.72, 0.29, 0.05, 0.02
1 0.60, 0.29, 0.02, 0.04
1 0.56, 0.29, 0.03, 0.03
1 0.65, 0.29, 0.06, 0.02
1 0.62, 0.31, 0.04, 0.04
1 0.64, 0.31, 0.03, 0.03
1 1.06, 0.29, 0.03, 0.03
1 1.05, 0.30, 0.03, 0.03
1 1.04, 0.32, 0.03, 0.03
1 0.46, 0.30, 0.04, 0.02
1 0.39, 0.30, 0.03, 0.02
1 0.85, 0.30, 0.03, 0.01
1 0.82, 0.30, 0.04, 0.02
1 0.62, 0.30, 0.03, 0.03
1 0.95, 0.30, 0.02, 0.03
1 0.89, 0.30, 0.02, 0.04
1 0.98, 0.30, 0.04, 0.03
1 1.15, 0.30, 0.03, 0.04
1 0.70, 0.30, 0.03, 0.03
1 0.58, 0.31, 0.02, 0.02
1 0.71, 0.31, 0.04, 0.03
1 0.73, 0.31, 0.04, 0.04
1 0.87, 0.31, 0.02, 0.04
1 0.43, 0.31, 0.03, 0.03
1 0.77, 0.31, 0.02, 0.03
1 0.67, 0.31, 0.02, 0.03
1 0.65, 0.34, 0.02, 0.03
1 1.08, 0.32, 0.03, 0.02
1 1.11, 0.31, 0.02, 0.02
1 1.13, 0.33, 0.02, 0.02
1 0.99, 0.32, 0.03, 0.02
1 1.01, 0.33, 0.03, 0.03
1 0.83, 0.32, 0.04, 0.03
1 0.48, 0.32, 0.02, 0.03
1 0.79, 0.33, 0.03, 0.03
1 0.76, 0.33, 0.04, 0.04
1 0.82, 0.33, 0.03, 0.04
1 0.35, 0.34, 0.05, 0.02
1 0.96, 0.34, 0.02, 0.03
1 0.58, 0.34, 0.04, 0.03
1 0.74, 0.34, 0.03, 0.02
1 0.67, 0.34, 0.04, 0.03
1 0.41, 0.34, 0.03, 0.03
1 0.52, 0.35, 0.05, 0.02
1 0.62, 0.35, 0.03, 0.01
1 0.98, 0.35, 0.03, 0.03
1 0.99, 0.37, 0.03, 0.02
1 0.85, 0.35, 0.04, 0.02
1 1.18, 0.35, 0.03, 0.03
1 0.73, 0.36, 0.03, 0.03
1 1.07, 0.36, 0.06, 0.02
1 0.37, 0.37, 0.03, 0.04
1 0.76, 0.37, 0.05, 0.03
1 0.90, 0.37, 0.03, 0.02
1 0.79, 0.37, 0.04, 0.03
1 0.96, 0.37, 0.03, 0.02
1 0.65, 0.38, 0.03, 0.03
1 1.01, 0.42, 0.03, 0.03
1 0.44, 0.42, 0.02, 0.03
1 1.14, 0.43, 0.03, 0.03
1 0.64, 0.44, 0.03, 0.02
1 0.56, 0.44, 0.02, 0.02
1 0.31, 0.44, 0.04, 0.02
1 0.60, 0.44, 0.02, 0.01
1 0.51, 0.45, 0.02, 0.02
1 0.34, 0.46, 0.02, 0.01
1 1.08, 0.47, 0.04, 0.03
1 0.72, 0.54, 0.04, 0.03
1 0.35, 0.44, 0.02, 0.02
1 0.97, 0.40, 0.03, 0.03
1 1.00, 0.40, 0.02, 0.02
1 0.96, 0.39, 0.05, 0.02
1 0.93, 0.32, 0.03, 0.05
1 0.92, 0.34, 0.03, 0.03
1 0.91, 0.34, 0.02, 0.03
1 0.89, 0.33, 0.04, 0.04
1 1.02, 0.31, 0.03, 0.03
1 0.82, 0.37, 0.04, 0.03
1 0.84, 0.36, 0.02, 0.03
1 0.69, 0.35, 0.03, 0.03
1 0.71, 0.34, 0.03, 0.04
1 0.60, 0.25, 0.03, 0.04
1 0.58, 0.26, 0.03, 0.04
1 0.77, 0.21, 0.06, 0.02
1 0.75, 0.22, 0.04, 0.04
1 0.83, 0.25, 0.04, 0.04
1 0.88, 0.30, 0.05, 0.02
1 0.95, 0.27, 0.03, 0.03
1 0.82, 0.23, 0.02, 0.03
1 0.83, 0.21, 0.03, 0.05
